label,text,source
ham,Nice song﻿,youtube-spam
ham,I love song ﻿,youtube-spam
ham,I love song ﻿,youtube-spam
ham,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",youtube-spam
ham,shakira is best for worldcup﻿,youtube-spam
ham,The best world cup song ever!!!!﻿,youtube-spam
ham,I love﻿,youtube-spam
spam,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,youtube-spam
ham,Awesome ﻿,youtube-spam
ham,I like shakira..﻿,youtube-spam
ham,Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿,youtube-spam
ham,Why so many disliked??????!!!!!!😯﻿,youtube-spam
ham,I don&#39;t think this song will ever get old ﻿,youtube-spam
ham,Love song﻿,youtube-spam
ham,wery good﻿,youtube-spam
ham,"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",youtube-spam
ham,Whose watching this in 2015. If so hi-5﻿,youtube-spam
ham,I love this song so much &lt;3<br />Keep em&#39; coming!﻿,youtube-spam
ham,i love this song thumsb up to you﻿,youtube-spam
ham,Waka best one﻿,youtube-spam
ham,5 years later i still love this song <br />~Axy665﻿,youtube-spam
ham,Like﻿,youtube-spam
spam,Check out this playlist on YouTube:﻿,youtube-spam
ham,Her voice sounds weird and plus she&#39;s cute for a blonde﻿,youtube-spam
ham,"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",youtube-spam
ham,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,youtube-spam
ham,still watching in 2015...﻿,youtube-spam
ham,Shakira is my favourite singer. Wooooo﻿,youtube-spam
ham,i remember this song!,youtube-spam
ham,Like﻿,youtube-spam
ham,Whose who are watching this in 2015.  LIKE!﻿,youtube-spam
spam,"Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.﻿",youtube-spam
ham,best song in world﻿,youtube-spam
ham,BEAUTIFUL,youtube-spam
ham,Good song:-)﻿,youtube-spam
ham,She&#39;s such an awesome entertainer. And pretty too! &lt;3 Shakira!﻿,youtube-spam
spam,Check out this video on YouTube:﻿,youtube-spam
ham,Love this song﻿,youtube-spam
ham,Love this song! My soccer team made a cd for our couch with this song on it!﻿,youtube-spam
ham,fave song﻿,youtube-spam
ham,Watching in 2015﻿,youtube-spam
ham,I felt old when I realized that this song was 5 years old...﻿,youtube-spam
ham,love Shakira!﻿,youtube-spam
ham,One of the best song of all the time﻿,youtube-spam
ham,I really am madly in love with this woman!!﻿,youtube-spam
ham,i totally love this song. absolutely fantastic! i love ya shakira!﻿,youtube-spam
ham,im still watching in 2015﻿,youtube-spam
ham,the song is sad﻿,youtube-spam
ham,goood﻿,youtube-spam
ham,The best FIFA world cup song for sure.﻿,youtube-spam
ham,Nice vídeo shakira good﻿,youtube-spam
spam,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",youtube-spam
spam,"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿",youtube-spam
ham,Waka waka﻿,youtube-spam
ham,she is beautiful but it is not American!﻿,youtube-spam
spam,Thumbs up if your watching in 2015﻿,youtube-spam
ham,ILOVETHISSONG﻿,youtube-spam
spam,Subscribe me please. i&#39;ll promise i&#39;ll sub back﻿,youtube-spam
ham,Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH﻿,youtube-spam
ham,My friend Sam loves this song😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊﻿,youtube-spam
spam,Check out this video on YouTube:﻿,youtube-spam
ham,I love you﻿,youtube-spam
ham,"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿",youtube-spam
ham,ILove shakira ﻿,youtube-spam
ham,It was  cool   the best   song ever  ﻿,youtube-spam
ham,OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿,youtube-spam
spam,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,youtube-spam
ham,nice song﻿,youtube-spam
ham,waka waka﻿,youtube-spam
ham,super music﻿,youtube-spam
ham,How could 108k people dislike this song or video﻿,youtube-spam
ham,Love it!!!!!!!!!!!!!!!!💜﻿,youtube-spam
ham,I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿,youtube-spam
ham,Youtube comments be like<br />This is so 5 years ago. ﻿,youtube-spam
ham,it pisses me off a bit that blank space has more views (868 mio) than this. meh ﻿,youtube-spam
ham,Your the best♣♥﻿,youtube-spam
ham,I love you  ;p﻿,youtube-spam
ham,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,youtube-spam
ham,"This song is special, because is a song for Africa  and I am an African ﻿",youtube-spam
ham,&lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.﻿,youtube-spam
ham,I love shakira<br />❤❤❤❤﻿,youtube-spam
spam,"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",youtube-spam
ham,I remember that torunament like it was today.﻿,youtube-spam
spam,Thank you. Please give your email. ﻿,youtube-spam
ham,beautiful﻿,youtube-spam
ham,Like﻿,youtube-spam
ham,"Shakira you are so beautiful. You are lovely, lively.. We love you.﻿",youtube-spam
ham,GREAT!!!﻿,youtube-spam
ham,Best World Cup Song﻿,youtube-spam
spam,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,youtube-spam
ham,This song is so beauty,youtube-spam
ham,I heard this when I was only 6 years old and I still love it﻿,youtube-spam
ham,nice song﻿,youtube-spam
ham,waka waka:-):-):-)﻿,youtube-spam
ham,Oh my god go to 1 billion of replay i love shakira﻿,youtube-spam
ham,i love her﻿,youtube-spam
ham,I love this song &amp;I love shakira&lt;333♡♡♡♡♡♡♡♡♡♡♡《33☆☆☆﻿,youtube-spam
spam,Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿,youtube-spam
ham,I liked<br />﻿,youtube-spam
ham,I like this song ﻿,youtube-spam
ham,i like it :)﻿,youtube-spam
ham,Waka waka !!!﻿,youtube-spam
ham,Amazing song﻿,youtube-spam
ham,Cool song ﻿,youtube-spam
ham,i love u  shakira﻿,youtube-spam
ham,Waka waka ﻿,youtube-spam
ham,this song sucks﻿,youtube-spam
ham,Lol I love this song﻿,youtube-spam
ham,Shakira﻿,youtube-spam
spam,Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿,youtube-spam
ham,Wow...5 years<br />﻿,youtube-spam
spam,subscribe to me and I wil subscribe to you back﻿,youtube-spam
ham,You best singer﻿,youtube-spam
ham,5 years soon!﻿,youtube-spam
ham,Like﻿,youtube-spam
ham,Wanderfol is love or miusic﻿,youtube-spam
ham,waka waka﻿,youtube-spam
ham,BEST SONG EVER X3333333333﻿,youtube-spam
ham,"Very pleasant to hear, haha, good.﻿",youtube-spam
ham,love!!!!﻿,youtube-spam
ham,wow,youtube-spam
ham,Waka waka eh eh﻿,youtube-spam
ham,Cutie girl and beautiful song,youtube-spam
ham,Love you shkira﻿,youtube-spam
ham,"I believe that soccer promotes terrorism. Bad choice, Shakira.﻿",youtube-spam
ham,I loved this song when I was in my teenage years!﻿,youtube-spam
ham,Lip synch is terrible﻿,youtube-spam
ham,"Shakira is different :) She is so happy all the time and she is spending for Africa :)<br />She can dance , sing and she speaks 4 languages﻿",youtube-spam
spam,Gusttavo Lima Você não me conhece <br />Check out﻿,youtube-spam
ham,Best world cup offical song﻿,youtube-spam
ham,5 years ago damn ﻿,youtube-spam
ham,Very nice,youtube-spam
spam,"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",youtube-spam
ham,like me﻿,youtube-spam
ham,SHAKIRA SONG WAKA WAKA﻿,youtube-spam
ham,So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it.   <br />   ﻿,youtube-spam
ham,I love this song and expect the World Cup .﻿,youtube-spam
ham,Good times ...﻿,youtube-spam
ham,"It makes me happy instantly, and makes me forgot everything bad happening!﻿",youtube-spam
ham,Love this song so much! One of my faves! Xxx﻿,youtube-spam
ham,"Hi, nice song Shakira! (Sorry for bad Brazilian)﻿",youtube-spam
ham,BEST SONG! GO SHAKI :D﻿,youtube-spam
ham,THIS IS SHIT AND SOOOOO AUTOTUNED﻿,youtube-spam
ham,....I stil lisening this :)﻿,youtube-spam
ham,sexy shakira﻿,youtube-spam
ham,I love you Shakiria!!!!!!﻿,youtube-spam
ham,Me and my aunt love this song!!!!!﻿,youtube-spam
spam,I subscribed it<br />﻿,youtube-spam
spam,Check out this playlist on YouTube<br />﻿,youtube-spam
spam,Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ﻿,youtube-spam
spam,Check out this video on YouTube:﻿,youtube-spam
spam,Check out this playlist on YouTube:Central ﻿,youtube-spam
spam,"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿",youtube-spam
spam,please visit my channel﻿,youtube-spam
spam,Pleas subscribe my channel GamezZMTA﻿,youtube-spam
spam,Pleas subscribe my channel﻿,youtube-spam
spam,Pleas subscribe GamezZ MTA my channel<br />﻿,youtube-spam
spam,"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿",youtube-spam
spam,Check out this video on YouTube: ﻿,youtube-spam
spam,Subscribe and Win a CAP<br />       ☆☆☆☆☆﻿,youtube-spam
spam,Check out this playlist on YouTube:﻿,youtube-spam
